 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
123,.8117555,2.0141079,1.4791423,.3555440,-.1392247,-.0427431,.2337723,2.1842725,.7927615,1.1846486,3.1300002
124,.9012507,2.2316267,1.7889238,.3972800,-.2176524,-.0430517,.2330278,2.1842727,.7904801,1.4176972,3.1400002
125,1.2463601,3.0713058,2.6667532,.4313788,-.2657038,-.0434975,.2322880,2.1842729,.7882118,2.2159727,3.1500002
126,.4904127,1.2134156,1.3806637,.2143000,-.2804649,-.0440109,.2315529,2.1842732,.7859564,1.1278297,3.1600002
127,-.2897313,-.7225360,.2649523,.0606791,-.4568367,-.0440123,.2308225,2.1842732,.7837140,.2207933,3.1700002
128,.1763939,.4334956,.7936429,.1475049,-.2894024,-.0444637,.2300966,2.1842734,.7814843,.6308883,3.1800002
129,.6291094,1.5216034,1.4176088,.2817232,-.2201109,-.0449647,.2293753,2.1842737,.7792673,1.0969900,3.1900002
130,1.2620659,3.1096614,2.6785799,.4064714,-.2296527,-.0458788,.2286585,2.1842741,.7770627,2.1546255,3.2000002
131,.6203067,1.5306811,1.8761830,.2402363,-.3784514,-.0468900,.2279462,2.1842745,.7748705,1.5944837,3.2100002
132,.5864039,1.4490253,1.6356649,.1991178,-.2727829,-.0481691,.2272383,2.1842751,.7726907,1.3001823,3.2200002
133,.9686312,2.3905138,2.1446492,.2933914,-.1921681,-.0493872,.2265348,2.1842757,.7705231,1.6891163,3.2300002
134,1.5130960,3.7185754,3.3084478,.4084550,-.2398880,-.0519688,.2258356,2.1842770,.7683673,2.6625241,3.2400002
135,1.5515534,3.8069060,3.6250482,.3791639,-.3043530,-.0563319,.2251407,2.1842798,.7662232,2.9240811,3.2500002
136,2.1146060,5.1696320,4.1164382,.4434009,-.0112573,-.0618287,.2244501,2.1842839,.7640905,3.3868012,3.2600002
137,2.3214132,5.6812597,3.9703961,.3975173,.3014374,-.0685613,.2237637,2.1842906,.7619688,3.2666755,3.2700002
138,2.0725336,5.0707959,3.9380784,.3223497,.1419832,-.0802184,.2230815,2.1843086,.7598553,3.2866091,3.2800002
139,2.1927760,5.3983548,2.4540548,.1492779,1.0471532,-.0794361,.2224034,2.1843046,.7577604,2.0204877,3.2900002
140,1.2505201,3.0925619,1.7998046,.2804442,.2424661,-.0476487,.2217295,2.1842763,.7556847,1.4338820,3.3000002
141,1.9460392,4.8165337,1.7223645,.2195705,1.0308775,-.0490682,.2210596,2.1842769,.7536113,1.3943772,3.3100002
142,.8576730,2.1234431,1.3967104,.1773320,.1164428,-.0496741,.2203938,2.1842772,.7515493,1.1322320,3.3200002
143,.8098600,2.0031621,1.5598469,.1573173,.0221080,-.0523101,.2197319,2.1842784,.7494983,1.2651142,3.3300002
144,.8445677,2.0949761,1.1848444,.1248490,.2423399,-.0551052,.2190740,2.1842798,.7474584,.9605635,3.3400002
145,.9983307,2.4816225,1.0087846,.1092037,.4837526,-.0571100,.2184201,2.1842809,.7454297,.8156795,3.3500002
146,.4895482,1.2181325,.7798372,.0840356,.0924819,-.0593330,.2177700,2.1842824,.7434118,.6291417,3.3600002
147,.4560791,1.1356336,.8346362,.0864408,.0347287,-.0613851,.2171238,2.1842838,.7414049,.6669298,3.3700002
148,.4147661,1.0312391,.9587901,.0838712,-.0544398,-.0642808,.2164814,2.1842861,.7394084,.7661194,3.3800002
149,.6973841,1.7265774,1.5955522,.1287101,-.0755841,-.0721003,.2158429,2.1842935,.7374212,1.2762927,3.3900002
150,1.0783114,2.6595366,2.2601793,.1575685,.0043099,-.0831808,.2152080,2.1843082,.7354423,1.8062779,3.4000002
151,1.1947959,2.9408854,2.5078393,.1537704,.0223263,-.0974578,.2145769,2.1843375,.7334696,2.0455616,3.4100002
152,.5359867,1.3230262,.9920341,.0538231,.0804308,-.1001321,.2139495,2.1843445,.7315141,.8355316,3.4200002
153,.9062713,2.2389730,.8868166,.1000583,.4477885,-.0447176,.2133257,2.1842766,.7295918,.6924761,3.4300002
154,.4568538,1.1244645,1.8456547,.1903789,-.4809329,-.0479418,.2127056,2.1842779,.7276587,1.4890735,3.4400002
155,.2743043,.6772323,1.2337793,.1059285,-.3300194,-.0474539,.2127056,2.1842777,.7276588,.9869675,3.4400000
156,1.1709223,2.8767428,2.7332346,.2789360,-.2180171,-.0511240,.2127056,2.1842794,.7276583,2.1591966,3.4400000
157,1.3714577,3.3735305,2.7708179,.2333003,.0127676,-.0583844,.2127056,2.1842839,.7276569,2.2848981,3.4400000
158,1.2475840,3.0752059,2.4940672,.1616020,.0748782,-.0703949,.2127056,2.1842944,.7276538,2.0196655,3.4400000
159,.7598985,1.8801470,1.6680935,.1100046,-.0235705,-.0840849,.2127056,2.1843124,.7276483,1.3512371,3.4400000
160,.7917983,1.9568788,1.7410510,.1134679,-.0248847,-.0993144,.2127056,2.1843435,.7276388,1.4158964,3.4400000
161,.8322111,2.0557315,1.6702860,.1144955,.0417526,-.1170390,.2127056,2.1844037,.7276206,1.3089622,3.4400000
162,1.0742237,2.6505623,1.8915116,.0923203,.2153782,-.1221553,.2127056,2.1844421,.7276089,1.5674870,3.4400000
163,.6779659,1.6714950,1.4125225,.0645231,.0412317,-.1207128,.2127056,2.1844475,.7276073,1.1404210,3.4400000
164,.7174153,1.7724898,.8973225,.0602417,.2947309,-.0726518,.2127056,2.1843188,.7276463,.7616242,3.4400000
165,.1912468,.4717756,1.1749844,.0715685,-.3542690,-.0753779,.2127056,2.1843198,.7276460,.9459648,3.4400000
166,.9160892,2.2667802,1.5189717,.1013246,.2005846,-.0866223,.2127056,2.1843524,.7276361,1.1930979,3.4400000
167,.5642412,1.3886669,1.5145683,.0680666,-.1171650,-.1001903,.2127056,2.1844016,.7276212,1.2381607,3.4400000
168,.8336222,2.0495572,2.6605551,.1723941,-.4171735,-.1228060,.2127056,2.1845257,.7275835,2.1371471,3.4400000
169,.9281480,2.2832371,2.8901447,.1416548,-.3851238,-.1503348,.2127056,2.1848755,.7274774,2.3504438,3.4400000
170,.7033510,1.7315437,2.3753175,.1178458,-.3760169,-.1769195,.2127056,2.1854916,.7272905,1.9158789,3.4400000
171,.9085754,2.2343577,2.7275770,.1463423,-.3433899,-.2005539,.2127056,2.1868469,.7268797,2.2146706,3.4400000
172,1.0830184,2.6634398,3.1385891,.1491561,-.3396275,-.2210352,.2127056,2.1899682,.7259354,2.5226461,3.4400000
173,1.3330449,3.2704997,3.7799681,.1971351,-.4015905,-.2389528,.2127056,2.1999934,.7229190,3.0464976,3.4400000
174,1.6850007,4.1331008,4.0041770,.2205877,-.1664423,-.2473423,.2127056,2.2288910,.7143629,3.1895075,3.4400000
175,1.7854157,4.3721961,4.1673820,.2371083,-.1523488,-.2444578,.2127056,2.2914048,.6965292,3.3811972,3.4400000
176,1.8906701,4.6226826,4.2965004,.2541277,-.1200327,-.2238758,.2127056,2.4352312,.6586962,3.4645932,3.4400000
177,1.8838679,4.5972037,4.1034106,.2828333,-.0797840,-.1964247,.2127056,2.6227503,.6151342,3.2951920,3.4400000
178,1.7903358,4.3648099,4.2831153,.2706802,-.2355895,-.1733187,.2127056,2.8125838,.5765353,3.6959061,3.4400000
179,1.5775287,3.8543004,4.1592910,.2305822,-.3531183,-.1580228,.2127056,2.9905037,.5445120,3.3789861,3.4400000
180,1.0352796,2.5445760,2.2037963,.1092529,.0291024,-.1753699,.2127056,2.9348844,.5541338,1.8744971,3.4400000
181,1.4513532,3.5592912,2.1240023,.1229542,.4623117,-.2077025,.2127056,2.7989814,.5791392,1.7240814,3.4400000
182,1.5164491,3.7109575,3.1802608,.1663100,.0507952,-.1941819,.2127056,2.9695442,.5480984,2.6035193,3.4400000
183,1.4753536,3.6070169,3.1446576,.1573833,.0321870,-.1918103,.2127056,3.0924594,.5277153,2.6024705,3.4400000
184,1.5396328,3.7685801,2.8402011,.1621340,.2170757,-.2133765,.2127056,3.0428930,.5357497,2.3306545,3.4400000
185,1.6030030,3.9246667,3.2195368,.1538970,.1348253,-.2144709,.2127056,3.1039528,.5258866,2.6777265,3.4400000
186,1.3121866,3.2216114,2.8243703,.1201302,.0429051,-.2161226,.2127056,3.1668690,.5160963,2.3372314,3.4400000
187,.8749286,2.1614298,1.9377495,.0817246,.0095879,-.2144773,.2127056,3.2199651,.5081134,1.5890780,3.4400000
188,1.1104107,2.7290141,2.6265859,.1300504,-.0882644,-.2194476,.2127056,3.2749965,.5000960,2.0913824,3.4400000
189,1.3427586,3.2893711,3.0512148,.1392122,-.0425907,-.2308681,.2127056,3.2910464,.4978052,2.4591351,3.4400000
190,1.5390834,3.7628191,3.2981507,.1314518,.0591266,-.2364818,.2127056,3.3500955,.4895547,2.7454858,3.4400000
191,1.2788563,3.1396880,2.8484017,.1189547,-.0002695,-.2395226,.2127056,3.3943952,.4835424,2.3340523,3.4400000
192,1.2767442,3.1310338,2.8260142,.1118609,.0135214,-.2466936,.2127056,3.4126441,.4811084,2.3244013,3.4400000
193,1.0183854,2.5106926,2.2919963,.0774913,.0117838,-.2477902,.2127056,3.4588263,.4750568,1.8695877,3.4400000
194,1.1761514,2.8890173,2.7144486,.1088058,-.0378057,-.2526070,.2127056,3.5043022,.4692447,2.1811827,3.4400000
195,1.3536225,3.3159923,3.0124257,.1215900,.0028209,-.2597286,.2127056,3.5387034,.4649416,2.4581806,3.4400000
196,1.3281666,3.2527002,2.9241444,.1297604,.0048660,-.2631117,.2127056,3.5937208,.4582214,2.3876326,3.4400000
197,1.2920532,3.1600489,2.8260568,.1426121,-.0056990,-.2664789,.2127056,3.6537904,.4511025,2.3173056,3.4400000
198,1.3079459,3.2055153,2.8342110,.1195656,.0326036,-.2703957,.2127056,3.7143303,.4441482,2.3445398,3.4400000
