 !NB. This file contains data that is averaged or summed over daily periods.!
Time (days),mod_ET(mm/d),mod_LE(MJ/m2/d),mod_ET(MJ.m-2.d-1),mod_SoilE(mm/d),mod_can_evap(mm/d),weighted_SWP(MPa),plant_resistance_layer1,canopy_soil_resistance_layer1,LSC(mmol/m2/s/Mpa),sapflow(mm/d),mean-LAI
064,.5042185,1.2572250,.6873354,.4107567,-.1870842,-.0410043,4.6704721,1.0921362,.3692181,.5466586,2.8200001
065,.0211376,.0084369,.5092826,.2274247,-.4094517,-.0400496,4.6622057,1.0921362,.3690941,.4134878,2.8250001
066,-.0123225,-.1073182,.3903936,.1717229,-.3349233,-.0400507,4.6539686,1.0921362,.3689702,.3107775,2.8300001
067,-.3054590,-.8687672,.1459410,.0734280,-.4337033,-.0400536,4.6457606,1.0921363,.3688463,.1194902,2.8350001
068,-.2111425,-.5985891,.0805138,.0639316,-.3034741,-.0400565,4.6375814,1.0921363,.3687225,.0619978,2.8400001
069,-.0301475,-.0854682,.2152019,.1441427,-.2430036,-.0400587,4.6294310,1.0921364,.3685988,.1709950,2.8450001
070,-.1883249,-.5339012,.0604973,.0871994,-.2928751,-.0400619,4.6213092,1.0921365,.3684752,.0491032,2.8500001
071,-.0876705,-.2485459,.2332829,.1188516,-.2821232,-.0400649,4.6132158,1.0921365,.3683517,.1807942,2.8550001
072,-.0003326,-.0377673,.4035549,.1407244,-.2864580,-.0400685,4.6051508,1.0921366,.3682282,.3192502,2.8600001
073,-.0418997,-.1462571,.4171545,.1172678,-.3086243,-.0400719,4.5971139,1.0921367,.3681049,.3335792,2.8650001
074,-.0193016,-.0953262,.4990210,.1209179,-.3363570,-.0400753,4.5891050,1.0921367,.3679816,.3921566,2.8700001
075,.0942602,.1947397,.4028789,.0921765,-.1587779,-.0400795,4.5811239,1.0921368,.3678584,.3181278,2.8750001
076,.3162039,.7765169,.4188306,.0963592,.0568046,-.0400841,4.5731706,1.0921369,.3677353,.3408917,2.8800001
077,.0767377,.1588142,.4682007,.1237596,-.2213198,-.0400881,4.5652448,1.0921369,.3676122,.3661854,2.8850001
078,-.0219461,-.0622171,.4090953,.1240993,-.2822414,-.0400930,4.5573465,1.0921370,.3674893,.3267801,2.8900001
079,.0392596,.0467454,.6159597,.1464087,-.3475402,-.0400936,4.5494754,1.0921370,.3673664,.4919032,2.8950001
080,-.0371272,-.1593467,.4130269,.0714781,-.2715034,-.0415249,4.5416315,1.0921371,.3672436,.3219972,2.9000001
081,.5169314,1.2853961,1.0455521,.1843906,-.0881709,-.0416059,4.5338145,1.0921371,.3671209,.8233205,2.9050001
082,.9836839,2.4443451,1.2015715,.2742245,.2252943,-.0429164,4.5260245,1.0921372,.3669983,.9447975,2.9100001
083,.1035412,.2443861,.9182827,.1438045,-.4091403,-.0417205,4.5182612,1.0921373,.3668757,.7607534,2.9150001
084,-.3801441,-1.0777086,.0196641,.0418347,-.4255747,-.0400976,4.5105244,1.0921372,.3667533,.0178918,2.9200001
085,.0305178,.0380313,.5580452,.1221406,-.3093180,-.0401029,4.5028141,1.0921373,.3666309,.4356314,2.9250001
