Time (days),up1,up2,up3,up4,up5,up6,up7,up8,up9,up10,up11,up12,up13,up14,up15
63.98,.0000000,.0000000,.0000000,.2313329,.1962650,.1665096,.1412495,.1198349,.1016771,.0224514,.0206796,.0000000,.0000000,.0000000,.0000000
64.98,.2228396,.1887158,.0000000,.1361258,.1154900,.0979808,.0831193,.0705177,.0598309,.0132113,.0121687,.0000000,.0000000,.0000000,.0000000
65.98,.0000000,.0000000,.0000000,.2313316,.1962628,.1665077,.1412529,.1198378,.1016764,.0224513,.0206795,.0000000,.0000000,.0000000,.0000000
66.98,.0000000,.0000000,.0000000,.2313317,.1962629,.1665078,.1412524,.1198374,.1016769,.0224514,.0206796,.0000000,.0000000,.0000000,.0000000
67.98,.0000000,.0000000,.0000000,.2313319,.1962631,.1665080,.1412519,.1198370,.1016771,.0224514,.0206796,.0000000,.0000000,.0000000,.0000000
68.98,.0000000,.0000000,.0000000,.2313320,.1962634,.1665083,.1412515,.1198366,.1016772,.0224514,.0206796,.0000000,.0000000,.0000000,.0000000
69.98,.0000000,.0000000,.0000000,.2313325,.1962636,.1665084,.1412509,.1198361,.1016773,.0224515,.0206796,.0000000,.0000000,.0000000,.0000000
70.98,.0000000,.0000000,.0000000,.2313327,.1962639,.1665087,.1412504,.1198357,.1016775,.0224515,.0206797,.0000000,.0000000,.0000000,.0000000
71.98,.0000000,.0000000,.0000000,.2313330,.1962642,.1665089,.1412498,.1198352,.1016776,.0224515,.0206797,.0000000,.0000000,.0000000,.0000000
72.98,.0000000,.0000000,.0000000,.2313332,.1962646,.1665092,.1412492,.1198347,.1016778,.0224516,.0206797,.0000000,.0000000,.0000000,.0000000
73.98,.0000000,.0000000,.0000000,.2313336,.1962649,.1665095,.1412486,.1198341,.1016779,.0224516,.0206798,.0000000,.0000000,.0000000,.0000000
74.98,.0000000,.0000000,.0000000,.2313341,.1962652,.1665098,.1412479,.1198335,.1016781,.0224516,.0206798,.0000000,.0000000,.0000000,.0000000
75.98,.0000000,.0000000,.0000000,.2313343,.1962656,.1665101,.1412472,.1198329,.1016783,.0224517,.0206798,.0000000,.0000000,.0000000,.0000000
76.98,.0000000,.0000000,.0000000,.2313346,.1962660,.1665104,.1412465,.1198323,.1016785,.0224517,.0206799,.0000000,.0000000,.0000000,.0000000
77.98,.0000000,.0000000,.0000000,.2313351,.1962664,.1665108,.1412456,.1198316,.1016787,.0224518,.0206799,.0000000,.0000000,.0000000,.0000000
78.98,.0000000,.0000000,.0000000,.2313354,.1962669,.1665112,.1412448,.1198309,.1016790,.0224518,.0206800,.0000000,.0000000,.0000000,.0000000
79.98,.0000000,.0000000,.0000000,.2313352,.1962669,.1665112,.1412449,.1198310,.1016790,.0224518,.0206800,.0000000,.0000000,.0000000,.0000000
80.98,.2742167,.0000000,.0000000,.1678996,.1424476,.1208513,.1025125,.0869708,.0737971,.0162952,.0150092,.0000000,.0000000,.0000000,.0000000
81.98,.2741867,.0000000,.0000000,.1679066,.1424534,.1208563,.1025168,.0869744,.0738001,.0162959,.0150098,.0000000,.0000000,.0000000,.0000000
82.98,.2224708,.1885234,.0000000,.1362583,.1156029,.0980765,.0831930,.0705803,.0598898,.0132243,.0121807,.0000000,.0000000,.0000000,.0000000
